date;total_infectados;total_recuperados;total_mortos;mortos_por_dia;infectados_por_dia;recuperados_por_dia;vacinados_por_dia;total_pessoas_vacinadas;total_pessoas_completamente_vacinadas
28.07.2021;1022499;947587;58766;154;3778;0;136043;7859554;3234711
29.07.2021;1023940;947587;58973;207;1441;0;0;7859554;3234711
30.07.2021;1029016;947587;59110;137;5076;0;188305;8047859;3343957
31.07.2021;1031839;947587;59269;159;2823;0;93213;8141072;3406592
01.08.2021;1032320;947587;59298;29;481;0;35775;8176847;3424651
02.08.2021;1033477;947587;59375;77;1157;0;11274;8188121;3427627
03.08.2021;1036927;947587;59487;112;3450;0;0;8188121;3427627
04.08.2021;1041216;947587;59535;48;4289;0;222631;8410752;3539606
05.08.2021;1044535;968931;59659;124;3319;6939;102889;8513641;3595454
06.08.2021;1046494;968931;59787;128;1959;0;114471;8628112;3646868
07.08.2021;1058911;968931;59959;172;6620;0;0;8628112;3646868
08.08.2021;1060591;968931;59984;25;1680;0;48616;8676728;3668071
09.08.2021;1061793;968931;59990;6;1202;0;114700;8791428;3713427
10.08.2021;1063772;988571;60136;146;1979;6939;104260;8895688;3772761
11.08.2021;1067809;988571;60266;130;4037;0;87120;8982808;3814385
12.08.2021;1072522;988571;60441;175;4713;0;80458;9063266;3878798
13.08.2021;1076885;988571;60549;108;4363;0;75192;9138458;3947262
14.08.2021;1080746;988571;60632;83;3861;0;26809;9165267;3957493
15.08.2021;1080845;988571;60647;15;99;0;0;9165267;3957493
16.08.2021;1083263;988571;60655;8;2418;0;0;9165267;3957493
17.08.2021;1088188;988571;60771;116;4925;0;344701;9509968;4135235
18.08.2021;1093165;1010539;60902;131;4977;6939;0;9509968;4135235
19.08.2021;1097935;1010539;61090;188;4770;0;262082;9772050;4296127
20.08.2021;1102305;1010539;61254;164;4370;0;121346;9893396;4366262
21.08.2021;1104215;1010539;61368;114;1910;0;0;9893396;4366262
22.08.2021;1106424;1010539;61388;20;2209;0;136798;10030194;4435968
23.08.2021;1107794;1029035;61403;15;1370;6939;38957;10069151;4475716
24.08.2021;1112203;1032738;61605;202;4409;3703;92634;10161785;4533084
25.08.2021;1116338;1036617;61752;147;4135;3879;89385;10251170;4594933
26.08.2021;1119881;1036617;61982;230;3543;0;70326;10321496;4668468
27.08.2021;1122331;1036617;62091;109;2450;0;92201;10413697;4735248
28.08.2021;1124612;1036617;62221;130;2281;0;102060;10515757;4800902
29.08.2021;1125234;1036617;62242;21;622;0;65042;10580799;4836723
30.08.2021;1125567;1036617;62248;6;333;0;12366;10593165;4841249
31.08.2021;1128166;1036617;62457;209;2599;0;106987;10700152;4919687
01.09.2021;1130276;1044698;62595;138;2110;8081;97214;10797366;5006335
02.09.2021;1132381;1044698;62774;179;2105;0;57476;10854842;5109220
03.09.2021;1134359;1049172;62978;204;1978;4474;80165;10935007;5199977
04.09.2021;1136652;1049172;63142;164;2293;0;61707;10996714;5276649
05.09.2021;1137593;1049172;63234;92;941;0;25208;11021922;5324574
06.09.2021;1137927;1049172;63243;9;334;0;4332;11026254;5324842
07.09.2021;1140025;1049172;63312;69;2098;0;39757;11066011;5392886
08.09.2021;1140428;1049172;63354;42;403;0;14141;11080152;5402617
09.09.2021;1158164;1049172;63545;191;6620;0;80001;11160153;5524806
10.09.2021;1158414;1049172;63641;96;250;0;74588;11234741;5626797
11.09.2021;1159088;1087157;63846;205;674;6939;83720;11318461;5719430
12.09.2021;1159247;1087157;63880;34;159;0;37804;11356265;5762987
13.09.2021;1159247;1087157;63880;0;0;0;10334;11366599;5770962
14.09.2021;1159801;1088710;64077;197;554;1553;62770;11429369;5858875
15.09.2021;1160185;1088710;64295;218;384;0;65868;11495237;5976527
16.09.2021;1161182;1088710;64472;177;997;0;4946;11500183;5979840
17.09.2021;1161682;1088710;64677;205;500;0;153912;11654095;6171496
18.09.2021;1266882;1088710;64843;166;6620;0;80508;11734603;6251363
19.09.2021;1268614;1088710;64895;52;1732;0;22190;11756793;6282693
20.09.2021;1269239;1088710;64918;23;625;0;3296;11760089;6287090
21.09.2021;1272342;1088710;65103;185;3103;0;58069;11818158;6382067
22.09.2021;1273870;1088710;65227;124;1528;0;58484;11876642;6479846
23.09.2021;1275932;1202168;65382;155;2062;6939;84210;11960852;6584501
24.09.2021;1278031;1206222;65498;116;2099;4054;61252;12022104;6675966
25.09.2021;1278906;1206222;65613;115;875;0;105443;12127547;6757674
26.09.2021;1280126;1206222;65653;40;1220;0;62682;12190229;6829357
27.09.2021;1280544;1206222;65661;8;418;0;4414;12194643;6835184
28.09.2021;1282592;1211612;65856;195;2048;5390;61745;12256388;6931646
29.09.2021;1283454;1211612;66015;159;862;0;52737;12309125;7029137
30.09.2021;1285731;1211612;66134;119;2277;0;45940;12355065;7111831
01.10.2021;1288476;1211612;66261;127;2745;0;42291;12397356;7194540
02.10.2021;1289639;1218470;66422;161;1163;6858;41585;12438941;7268882
03.10.2021;1289808;1218470;66437;15;169;0;14366;12453307;7298961
04.10.2021;1291106;1218470;66465;28;1298;0;2965;12456272;7305421
05.10.2021;1293429;1218470;66648;183;2323;0;38693;12494965;7379285
06.10.2021;1295429;1218470;66741;93;2000;0;36788;12531753;7454702
07.10.2021;1295545;1225066;66785;44;116;6596;30425;12562178;7526072
08.10.2021;1299010;1225066;67029;244;3465;0;31458;12593636;7596604
09.10.2021;1299493;1228592;67170;141;483;3526;30926;12624562;7666326
10.10.2021;1300712;1228592;67175;5;1219;0;10464;12635026;7694560
11.10.2021;1301362;1228592;67188;13;650;0;1524;12636550;7696570
12.10.2021;1301890;1228592;67204;16;528;0;0;12636550;7696570
13.10.2021;1302530;1228592;67207;3;640;0;1037;12637587;7697425
14.10.2021;1304445;1234312;67342;135;1915;5720;27821;12665408;7770328
15.10.2021;1305919;1234312;67457;115;1474;0;63342;12728750;7867998
16.10.2021;1306675;1234312;67575;118;756;0;36136;12764886;7942420
17.10.2021;1306819;1234312;67584;9;144;0;14059;12778945;7978395
18.10.2021;1308193;1234312;67584;0;1374;0;2715;12781660;8001921
19.10.2021;1308360;1234312;67652;68;167;0;31677;12813337;8087860
20.10.2021;1308908;1234312;67697;45;548;0;2856;12816193;8100000
21.10.2021;1311219;1234312;67774;77;2311;0;13;12816206;8100000
22.10.2021;1312954;1242865;67905;131;1735;6939;7978;12824184;8127864
23.10.2021;1314605;1242865;67997;92;1651;0;16791;12840975;8171212
24.10.2021;1314622;1242865;67997;0;17;0;60800;12901775;8340107
25.10.2021;1314717;1242865;68004;7;95;0;48713;12950488;8494710
26.10.2021;1315560;1242865;68108;104;843;0;24034;12974522;8601698
27.10.2021;1317850;1242865;68203;95;2290;0;20498;12995020;8701883
28.10.2021;1319439;1242865;68229;26;1589;0;24691;13019711;8793590
29.10.2021;1320762;1249939;68321;92;1323;7074;20861;13040572;8886323
30.10.2021;1321174;1249939;68347;26;412;0;331;13040903;8886654
31.10.2021;1322087;1249939;68357;10;913;0;14891;13055794;8959853
01.11.2021;1322150;1249939;68370;13;63;0;6826;13062620;9006961
02.11.2021;1322497;1251766;68383;13;347;1827;3722;13066342;9022046
03.11.2021;1322861;1251766;68391;8;364;0;2131;13068473;9028689
04.11.2021;1323955;1251766;68409;18;1094;0;914;13069387;9030779
05.11.2021;1325246;1251766;68461;52;1291;0;38302;13107689;9217082
06.11.2021;1326476;1251766;68494;33;1230;0;14417;13122106;9319355
07.11.2021;1326833;1251766;68505;11;357;0;4650;13126756;9361840
08.11.2021;1327116;1251766;68520;15;283;0;0;13126756;9473729
09.11.2021;1328192;1251766;68553;33;1076;0;21799;13148555;9476494
10.11.2021;1329609;1251766;68607;54;1417;0;16649;13165204;9575167
11.11.2021;1330549;1251766;68635;28;940;0;15749;13180953;9672138
12.11.2021;1331675;1251766;68665;30;1126;0;14438;13195391;9772355
13.11.2021;1332674;1251766;68719;54;999;0;17738;13213129;9796402
14.11.2021;1332780;1251766;68726;7;106;0;4584;13217713;9827597
15.11.2021;1333046;1251766;68732;6;266;0;2294;13220007;9924268
16.11.2021;1333434;1251766;68753;21;388;0;1969;13221976;9935992
17.11.2021;1334462;1251766;68774;21;1028;0;15584;13237560;10034933
18.11.2021;1335211;1251766;68793;19;749;0;0;13237560;10034933
19.11.2021;1336274;1251766;68817;24;1063;0;366;13237926;10039868
20.11.2021;1337091;1251766;68832;15;817;0;14411;13252337;10131846
21.11.2021;1337805;1251766;68837;5;714;0;14245;13266582;10216149
22.11.2021;1337867;1251766;68841;4;62;0;12882;13279464;10288905
23.11.2021;1338708;1251766;68884;43;841;0;5134;13284598;10331910
24.11.2021;1339819;1251766;68919;35;1111;0;669;13285267;10335185
25.11.2021;1340886;1251766;68935;16;1067;0;14520;13299787;10419395
26.11.2021;1341850;1251766;68998;63;964;0;13423;13313210;10504290
27.11.2021;1342671;1251766;69011;13;821;0;0;13313210;10504290
28.11.2021;1342767;1251766;69024;13;96;0;11886;13325096;10567188
29.11.2021;1342801;1251766;69027;3;34;0;0;13325096;10567188
30.11.2021;1343927;1251766;69061;34;1126;0;34959;13360055;10662768
01.12.2021;1344816;1274186;69082;21;889;6939;95;13360150;10670528
02.12.2021;1345572;1274186;69102;20;756;0;7783;13367933;10713965
03.12.2021;1346494;1274186;69124;22;922;0;0;13367933;10713965
04.12.2021;1346998;1274186;69132;8;504;0;88;13368021;10815018
